1 SCROLL_LEFT_RIGHT 500 Rect(48, 860 - 1032, 882) 69346401647406
2 CLICK 500 Rect(48, 548 - 888, 980) 69347588653291
3 SCROLL_LEFT_RIGHT 0 Rect(48, 860 - 1032, 882) 69348849278082
4 CLICK 2452 Rect(49, 550 - 888, 694) 69349426686152
5 CLICK 500 Rect(48, 252 - 1032, 388) 69352693419694
6 SCROLL_TOP_DOWN 500 Rect(48, 572 - 1032, 692) 69353923011985
7 CLICK 500 Rect(540, 412 - 1032, 548) 69355118137454
8 CLICK 500 Rect(48, 572 - 1032, 692) 69356372795318
9 CLICK 0 Rect(48, 572 - 888, 716) 69357214415683
10 CLICK 500 Rect(738, 1580 - 834, 1629) 69358758994224
11 CLICK 500 Rect(902, 1580 - 998, 1629) 69359822585109
12 CLICK 500 Rect(48, 1292 - 1032, 1412) 69360902004535
13 CLICK 500 Rect(48, 1268 - 888, 1412) 69361814530420
14 CLICK 0 Rect(48, 1292 - 1032, 1412) 69362862826722
15 CLICK 500 Rect(53, 999 - 888, 1143) 69363327767711
16 CLICK 0 Rect(48, 1292 - 1032, 1412) 69364389190315
17 CLICK 500 Rect(59, 1167 - 888, 1311) 69364847611772
18 CLICK 0 Rect(48, 1292 - 1032, 1412) 69365896999116
19 CLICK 500 Rect(59, 879 - 888, 1023) 69366362396564
20 CLICK 0 Rect(48, 1292 - 1032, 1412) 69367370133960
21 CLICK 0 Rect(58, 1022 - 888, 1166) 69367840003595
22 CLICK 0 Rect(48, 1292 - 1032, 1412) 69368416973126
23 CLICK 0 Rect(58, 1310 - 888, 1412) 69368857192032
24 CLICK 0 Rect(48, 1292 - 1032, 1412) 69369419862137
25 CLICK 0 Rect(58, 1022 - 888, 1166) 69369874438282
26 CLICK 0 Rect(48, 1292 - 1032, 1412) 69370415190104
27 CLICK 0 Rect(56, 1297 - 888, 1412) 69370880581719
28 CLICK 0 Rect(48, 1292 - 1032, 1412) 69371448396719
29 CLICK 0 Rect(56, 1297 - 888, 1412) 69371877636822
30 CLICK 0 Rect(48, 1292 - 1032, 1412) 69372390500990
31 CLICK 500 Rect(58, 878 - 888, 1412) 69372832911875
32 SCROLL_RIGHT_LEFT 500 Rect(48, 860 - 1032, 980) 69373846215623
33 CLICK 500 Rect(48, 1004 - 888, 1148) 69374935333749
34 SCROLL_RIGHT_LEFT 0 Rect(48, 860 - 1032, 980) 69375977017081
35 CLICK 500 Rect(55, 1129 - 888, 1273) 69376581190154
36 SCROLL_LEFT_RIGHT 500 Rect(48, 1292 - 1032, 1412) 69377630737810
37 CLICK 0 Rect(48, 1268 - 888, 1412) 69378765935466
38 CLICK 500 Rect(816, 84 - 960, 228) 69379331325570
39 CLICK 500 Rect(82, 1148 - 178, 1268) 69380363150205
40 CLICK 500 Rect(410, 1580 - 506, 1629) 69381456122965
41 SCROLL_BOTTOM_UP 500 Rect(0, 240 - 1080, 1629) 69382591883173
42 CLICK 500 Rect(48, 716 - 1032, 836) 69383767047703
43 SCROLL_TOP_DOWN 500 Rect(0, 240 - 1080, 1629) 69384835580099
44 CLICK 500 Rect(246, 1148 - 342, 1268) 69386087387702
45 CLICK 500 Rect(540, 412 - 1032, 548) 69387132785879
46 CLICK 500 Rect(0, 1632 - 1080, 1776) 69388152049785
47 SCROLL_TOP_DOWN 500 Rect(48, 860 - 1032, 980) 69389235305722
48 CLICK 500 Rect(574, 1580 - 670, 1629) 69390424675722
49 CLICK 500 Rect(902, 1148 - 998, 1268) 69391502769211
50 SCROLL_BOTTOM_UP 500 Rect(48, 1292 - 1032, 1412) 69392640143846
51 CLICK 500 Rect(0, 72 - 168, 240) 69393921242023
52 CLICK 500 Rect(0, 72 - 720, 1776) 69394857294522
53 CLICK 500 Rect(0, 72 - 168, 240) 69395777578167
54 CLICK 0 Rect(0, 72 - 720, 1776) 69396734119053
55 SCROLL_TOP_DOWN 500 Rect(0, 72 - 136, 1776) 69397443921761
56 CLICK 500 Rect(48, 252 - 192, 372) 69398488732282
57 CLICK 500 Rect(912, 252 - 1008, 372) 69399539556447
58 CLICK 500 Rect(672, 84 - 816, 228) 69400559941759
59 CLICK 500 Rect(816, 84 - 960, 228) 69402333246394
60 CLICK 500 Rect(84, 856 - 996, 989) 69403202681030
61 CLICK 500 Rect(513, 1037 - 744, 1181) 69404078621759
62 CLICK 0 Rect(816, 84 - 960, 228) 69404966599726
63 CLICK 500 Rect(744, 1037 - 960, 1181) 69405349614623
64 CLICK 500 Rect(0, 387 - 1080, 531) 69406246029205
65 CLICK 500 Rect(192, 252 - 888, 372) 69407193680559
66 BACK 69408555611600
67 CLICK 0 Rect(0, 72 - 168, 240) 69408896532486
68 SCROLL_BOTTOM_UP 500 Rect(0, 72 - 720, 1029) 69409629642278
69 CLICK 500 Rect(0, 360 - 720, 504) 69410742203943
70 BACK 69411699990558
71 CLICK 500 Rect(0, 72 - 720, 1776) 69412062034933
72 CLICK 0 Rect(0, 72 - 168, 240) 69412937898474
73 CLICK 500 Rect(48, 252 - 192, 372) 69413512880869
74 CLICK 500 Rect(720, 1632 - 1080, 1776) 69414484817640
75 CLICK 500 Rect(513, 966 - 744, 1110) 69415361933629
76 CLICK 0 Rect(720, 1632 - 1080, 1776) 69416308277952
77 CLICK 500 Rect(744, 966 - 960, 1110) 69416703613368
78 CLICK 0 Rect(720, 1632 - 1080, 1776) 69417630133368
79 CLICK 500 Rect(120, 966 - 336, 1110) 69418038542691
80 CLICK 0 Rect(720, 1632 - 1080, 1776) 69418984977898
81 CLICK 500 Rect(84, 785 - 996, 918) 69419362788888
82 BACK 69420225092064
83 CLICK 500 Rect(225, 280 - 460, 424) 69420609824044
84 CLICK 500 Rect(84, 481 - 900, 617) 69421720771178
85 CLICK 500 Rect(744, 641 - 960, 785) 69422698561230
86 CLICK 0 Rect(48, 280 - 638, 424) 69423619035084
87 CLICK 500 Rect(912, 493 - 984, 605) 69424158924459
88 CLICK 500 Rect(513, 641 - 744, 785) 69425390391698
89 CLICK 500 Rect(242, 395 - 444, 635) 69426350620396
90 CLICK 0 Rect(513, 707 - 744, 851) 69427453680135
91 CLICK 500 Rect(48, 753 - 341, 897) 69427951705656
92 CLICK 500 Rect(242, 1089 - 444, 1329) 69428978355135
93 BACK 69429910763572
94 CLICK 0 Rect(744, 1014 - 960, 1158) 69430241026332
95 CLICK 500 Rect(360, 1632 - 720, 1776) 69432661689456
96 CLICK 0 Rect(48, 1447 - 341, 1591) 69433712502112
97 CLICK 500 Rect(641, 258 - 1029, 919) 69434193437580
98 CLICK 500 Rect(816, 84 - 960, 228) 69435197754715
99 SCROLL_BOTTOM_UP 500 Rect(0, 240 - 1080, 1629) 69436185468308
100 CLICK 500 Rect(48, 754 - 341, 898) 69437390142579
101 CLICK 500 Rect(344, 607 - 638, 751) 69438404192839
102 CLICK 500 Rect(641, 459 - 1029, 556) 69439463937005
103 SCROLL_TOP_DOWN 500 Rect(0, 240 - 1080, 1629) 69440471208723
104 CLICK 500 Rect(292, 395 - 393, 635) 69441685128410
105 CLICK 500 Rect(912, 493 - 984, 605) 69442837587629
106 CLICK 500 Rect(513, 641 - 744, 785) 69443878579816
107 CLICK 0 Rect(292, 396 - 393, 636) 69444956742420
108 CLICK 500 Rect(744, 707 - 960, 851) 69445562044451
109 CLICK 0 Rect(292, 1090 - 393, 1330) 69446619107263
110 CLICK 500 Rect(84, 547 - 900, 683) 69447233555440
111 BACK 69448339457784
112 CLICK 0 Rect(513, 1014 - 744, 1158) 69448724581325
113 CLICK 500 Rect(641, 953 - 1029, 1614) 69449325298460
114 CLICK 500 Rect(720, 1632 - 1080, 1776) 69450396310178
115 CLICK 0 Rect(513, 966 - 744, 1110) 69451307264605
116 CLICK 500 Rect(0, 1632 - 360, 1776) 69451944265646
117 CLICK 500 Rect(720, 1632 - 1080, 1776) 69452986078875
118 CLICK 0 Rect(744, 966 - 960, 1110) 69453864487260
119 CLICK 500 Rect(641, 952 - 1029, 1613) 69454372693249
120 CLICK 500 Rect(0, 72 - 168, 240) 69455363082885
121 CLICK 500 Rect(0, 72 - 720, 1776) 69456310277103
122 CLICK 0 Rect(0, 72 - 168, 240) 69457265349394
123 CLICK 0 Rect(48, 252 - 192, 372) 69457876946217
124 CLICK 0 Rect(0, 72 - 207, 1776) 69458561307050
125 CLICK 500 Rect(360, 1632 - 720, 1776) 69459513883454
126 CLICK 500 Rect(48, 606 - 341, 750) 69460541088768
127 CLICK 500 Rect(641, 258 - 1029, 355) 69461569254289
128 CLICK 500 Rect(225, 974 - 460, 1118) 69462585203975
129 BACK 69463836351371
130 CLICK 500 Rect(513, 1014 - 744, 1158) 69464242645225
131 CLICK 500 Rect(720, 1632 - 1080, 1776) 69465404430328
132 CLICK 500 Rect(513, 966 - 744, 1110) 69466325543818
133 CLICK 500 Rect(48, 1300 - 341, 1444) 69467480992255
134 CLICK 500 Rect(344, 753 - 638, 897) 69468545433765
135 CLICK 500 Rect(960, 84 - 1080, 228) 69469571064650
136 CLICK 500 Rect(480, 84 - 1068, 228) 69470462735014
137 CLICK 500 Rect(84, 985 - 996, 1129) 69471356067201
138 CLICK 500 Rect(0, 1632 - 360, 1776) 69472297461888
139 CLICK 0 Rect(48, 606 - 341, 750) 69473298674909
140 CLICK 500 Rect(48, 753 - 341, 897) 69473806131367
141 CLICK 500 Rect(344, 606 - 638, 750) 69474772774596
142 BACK 69475729493033
143 CLICK 0 Rect(360, 1632 - 720, 1776) 69476133311731
144 CLICK 0 Rect(0, 1632 - 360, 1776) 69487256815893
145 CLICK 500 Rect(641, 258 - 1029, 355) 69488202628862
146 CLICK 500 Rect(225, 280 - 460, 424) 69489274188444
147 CLICK 500 Rect(513, 641 - 744, 785) 69490605937507
148 CLICK 500 Rect(48, 606 - 341, 750) 69491914774641
149 CLICK 500 Rect(0, 1632 - 360, 1776) 69493014645682
150 CLICK 500 Rect(48, 606 - 341, 750) 69494106976619
151 CLICK 500 Rect(641, 258 - 1029, 919) 69495198561099
152 CLICK 500 Rect(720, 1632 - 1080, 1776) 69496288653234
153 CLICK 0 Rect(120, 966 - 336, 1110) 69497192291410
154 CLICK 500 Rect(0, 1632 - 360, 1776) 69497628984119
